

Expanded question: ' What faction of Liberal Party Peter Dutton leads?'
Question: What faction of Liberal Party Peter Dutton leads?
9.070777893066406	Peter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.	<--Peter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.	N/A	Q_4597_0
5.17281436920166	Interesting for insiders will be the position of Cabinet Minister Peter Dutton, who has emerged as de-facto leader of the conservative pack in the Liberal Party and is a future leadership aspirant.	<--Interesting for insiders will be the position of Cabinet Minister Peter Dutton, who has emerged as de-facto leader of the conservative pack in the Liberal Party and is a future leadership aspirant.	news_451183_37	Q_4597_0
5.114964008331299	Conservative uprising Dutton, a former policeman from Queenland, is politically aligned with the party's conservative faction and has emerged as their choice to succeed Turnbull.	<--Conservative uprising Dutton, a former policeman from Queenland, is politically aligned with the party's conservative faction and has emerged as their choice to succeed Turnbull.	news_1291709_27	Q_4597_0
5.020542144775391	Malcolm Turnbull remains under siege as Liberal leader, seeing off a challenge from Peter Dutton but now finding himself at the head of a deeply divided party.	<--Malcolm Turnbull remains under siege as Liberal leader, seeing off a challenge from Peter Dutton but now finding himself at the head of a deeply divided party.	news_1293892_4	Q_4597_0
4.858445644378662	Supporters of Home Affairs Minister Peter Dutton said he commanded at least 30 votes for the Liberal leadership, including several frontbenchers.	<--Supporters of Home Affairs Minister Peter Dutton said he commanded at least 30 votes for the Liberal leadership, including several frontbenchers.	news_1290802_12	Q_4597_0
4.39829158782959	Senator Cormann, a key Liberal powerbroker, said he believed Peter Dutton was the best person to lead the country to the next election.	<--Senator Cormann, a key Liberal powerbroker, said he believed Peter Dutton was the best person to lead the country to the next election.	news_1295774_5	Q_4597_0
4.322752475738525	Up Next Dutton to head super department Play Video Dutton to head super department Dutton to head super department Not everyone in the Liberal Party is happy with the idea of Peter Dutton leading a super portfolio including ASIO, the AFP and Border Force.	<--Up Next Dutton to head super department Play Video Dutton to head super department Dutton to head super department Not everyone in the Liberal Party is happy with the idea of Peter Dutton leading a super portfolio including ASIO, the AFP and Border Force.	news_518125_15	Q_4597_0
4.309432029724121	It has been an erratic few days in Canberra, with Home Affairs Minister Peter Dutton challenging Prime Minister Malcolm Turnbull to become leader of the Liberal Party.	<--It has been an erratic few days in Canberra, with Home Affairs Minister Peter Dutton challenging Prime Minister Malcolm Turnbull to become leader of the Liberal Party.	news_1296129_2	Q_4597_0
4.167754173278809	Mr Abbott's vengeful policy terrorism and Liberal frontbencher Peter Dutton's prime ministerial ambitions, meanwhile, dragged internal Liberal party politics further and further to the extreme.	<--Mr Abbott's vengeful policy terrorism and Liberal frontbencher Peter Dutton's prime ministerial ambitions, meanwhile, dragged internal Liberal party politics further and further to the extreme.	news_1293320_9	Q_4597_0
4.001113414764404	Treasurer Scott Morrison will also be throwing his hat in the ring, against Mr Dutton, to lead the Liberal Party.	<--Treasurer Scott Morrison will also be throwing his hat in the ring, against Mr Dutton, to lead the Liberal Party.	news_1296129_15	Q_4597_0
3.921473741531372	One of the ruling Liberal Party s most senior conservatives, Dutton was a strong backer of Abbott s failed bid to keep the leadership in a September 2015 party challenge from Turnbull.	<--One of the ruling Liberal Party s most senior conservatives, Dutton was a strong backer of Abbott s failed bid to keep the leadership in a September 2015 party challenge from Turnbull.	news_520359_11	Q_4597_0
3.919874668121338	Mr Turnbull will today address the Coalition party room to try again to win over Mr Abbott's so-called "coalsheviks" Internal divisions over energy have become a proxy for leadership tensions in the Government Supporters of Home Affairs Minister Peter Dutton said he commands at least 30 votes for the Liberal leadership, within striking distance of the required 43 Mr Drum told AM Mr Abbott needed to quit.	<--Mr Turnbull will today address the Coalition party room to try again to win over Mr Abbott's so-called "coalsheviks" Internal divisions over energy have become a proxy for leadership tensions in the Government Supporters of Home Affairs Minister Peter Dutton said he commands at least 30 votes for the Liberal leadership, within striking distance of the required 43 Mr Drum told AM Mr Abbott needed to quit.	news_1290802_2	Q_4597_0
3.8647613525390625	Read More A poll in early August found just 7% of voters from his own ruling Liberal Party wanted Dutton to be their leader, behind Prime Minister Turnbull on 51%.	<--Read More A poll in early August found just 7% of voters from his own ruling Liberal Party wanted Dutton to be their leader, behind Prime Minister Turnbull on 51%.	news_1294737_9	Q_4597_0
3.852529287338257	Senator Colbeck had been recommended for lead position on the ticket by Prime Minister Scott Morrison, Premier Will Hodgman and other senior federal Liberals including Mathias Cormann, Marise Payne, Peter Dutton and Simon Birmingham.	<--Senator Colbeck had been recommended for lead position on the ticket by Prime Minister Scott Morrison, Premier Will Hodgman and other senior federal Liberals including Mathias Cormann, Marise Payne, Peter Dutton and Simon Birmingham.	news_1325333_3	Q_4597_0
3.8169519901275635	The trio of Mathias Cormann, Michaelia Cash and Mitch Fifield made their positions public on Thursday, the day former minister Peter Dutton wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister.	<--The trio of Mathias Cormann, Michaelia Cash and Mitch Fifield made their positions public on Thursday, the day former minister Peter Dutton wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister.	news_1295788_1	Q_4597_0
3.8169519901275635	The trio of Mathias Cormann, Michaelia Cash and Mitch Fifield made their positions public on Thursday, the day former minister Peter Dutton wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister.	<--The trio of Mathias Cormann, Michaelia Cash and Mitch Fifield made their positions public on Thursday, the day former minister Peter Dutton wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister.	news_1295719_4	Q_4597_0
3.724778413772583	Mr Dutton was seen as a leader who could drag back the disaffected Liberal voters who have defected to Pauline Hanson's One Nation.	<--Mr Dutton was seen as a leader who could drag back the disaffected Liberal voters who have defected to Pauline Hanson's One Nation.	news_1299524_25	Q_4597_0
3.7157857418060303	Related Story: 'I was a better person to lead than Malcolm Turnbull': Dutton With Queensland's Liberal National Party hanging onto seven federal seats by margins of four per cent or less, it desperately wanted one of its own in The Lodge in Canberra ahead of the next election.	<--Related Story: 'I was a better person to lead than Malcolm Turnbull': Dutton With Queensland's Liberal National Party hanging onto seven federal seats by margins of four per cent or less, it desperately wanted one of its own in The Lodge in Canberra ahead of the next election.	news_1299565_0	Q_4597_0
3.6398122310638428	With the Liberal-National coalition trailing in opinion polls, Dutton has been touted by some political analysts as a potential challenger to Turnbull s leadership.	<--With the Liberal-National coalition trailing in opinion polls, Dutton has been touted by some political analysts as a potential challenger to Turnbull s leadership.	news_520359_12	Q_4597_0
3.5497584342956543	Former Liberal frontbencher senator Concetta Fierravanti-Wells, who quit her ministry to support Peter Dutton in last week's leadership challenge, also denied the party had a bullying problem.	<--Former Liberal frontbencher senator Concetta Fierravanti-Wells, who quit her ministry to support Peter Dutton in last week's leadership challenge, also denied the party had a bullying problem.	news_1308410_10	Q_4597_0
3.544747829437256	Image Peter Dutton speaking at a news conference in Canberra Thursday to announce he will again challenge Australia s prime minister, Malcolm Turnbull, for the leadership of the governing Liberal Party.	<--Image Peter Dutton speaking at a news conference in Canberra Thursday to announce he will again challenge Australia s prime minister, Malcolm Turnbull, for the leadership of the governing Liberal Party.	news_1295926_24	Q_4597_0
3.416832685470581	As a staunch conservative, Mr Dutton's supporters believe he is best placed to return disenfranchised rank-and-file members of the Liberal "base" who have deserted the party during Mr Turnbull's leadership.	<--As a staunch conservative, Mr Dutton's supporters believe he is best placed to return disenfranchised rank-and-file members of the Liberal "base" who have deserted the party during Mr Turnbull's leadership.	news_1296174_28	Q_4597_0
3.367950201034546	Branch member Peter Adamis, who runs a blog on Liberal Party issues and describes himself as a journalist, has emailed thousands of party members attacking factional enemies, including former state and federal candidate Sean Armistead.	<--Branch member Peter Adamis, who runs a blog on Liberal Party issues and describes himself as a journalist, has emailed thousands of party members attacking factional enemies, including former state and federal candidate Sean Armistead.	news_1058656_10	Q_4597_0
3.272608757019043	Home Affairs Minister, and leading conservative, Peter Dutton today conceded Australia is "on track for a Shorten-led government" before pledging his support for Mr Turnbull's leadership.	<--Home Affairs Minister, and leading conservative, Peter Dutton today conceded Australia is "on track for a Shorten-led government" before pledging his support for Mr Turnbull's leadership.	news_1037615_10	Q_4597_0
3.201706647872925	Peter Dutton, the home affairs minister and a member of the governing Liberal Party, said in a January interview that residents of Melbourne were afraid even to go to restaurants at night  because they re followed home by these gangs.	<--Peter Dutton, the home affairs minister and a member of the governing Liberal Party, said in a January interview that residents of Melbourne were afraid even to go to restaurants at night  because they re followed home by these gangs.	news_924055_3	Q_4597_0
3.172639846801758	Australian Prime Minister Malcolm Turnbull clung to power on Wednesday as rebel Liberal party lawmakers pressed for a second leadership contest just a day after he narrowly survived a challenge from former home minister Peter Dutton.	<--Australian Prime Minister Malcolm Turnbull clung to power on Wednesday as rebel Liberal party lawmakers pressed for a second leadership contest just a day after he narrowly survived a challenge from former home minister Peter Dutton.	news_1294204_0	Q_4597_0
3.172639846801758	Australian Prime Minister Malcolm Turnbull clung to power on Wednesday as rebel Liberal party lawmakers pressed for a second leadership contest just a day after he narrowly survived a challenge from former home minister Peter Dutton.	<--Australian Prime Minister Malcolm Turnbull clung to power on Wednesday as rebel Liberal party lawmakers pressed for a second leadership contest just a day after he narrowly survived a challenge from former home minister Peter Dutton.	news_1294312_0	Q_4597_0
3.172639846801758	Australian Prime Minister Malcolm Turnbull clung to power on Wednesday as rebel Liberal party lawmakers pressed for a second leadership contest just a day after he narrowly survived a challenge from former home minister Peter Dutton.	<--Australian Prime Minister Malcolm Turnbull clung to power on Wednesday as rebel Liberal party lawmakers pressed for a second leadership contest just a day after he narrowly survived a challenge from former home minister Peter Dutton.	news_1294322_0	Q_4597_0
3.151555061340332	"I believe that I was the best person to lead the Liberal Party to success at the next election," Dutton told reporters.	<--"I believe that I was the best person to lead the Liberal Party to success at the next election," Dutton told reporters.	news_1292231_21	Q_4597_0
3.1404919624328613	Peter Dutton lost the leadership ballot for the Liberal Party today after a noon showdown, with Scott Morrison elected as new leader.	<--Peter Dutton lost the leadership ballot for the Liberal Party today after a noon showdown, with Scott Morrison elected as new leader.	news_1298390_12	Q_4597_0
3.0486507415771484	But immigration is a hotly contested issue, and the far-right contingent of the Liberal Party has been pushing to reduce immigration levels, a cause championed by former Prime Minister Tony Abbott and Peter Dutton, the immigration minister.	<--But immigration is a hotly contested issue, and the far-right contingent of the Liberal Party has been pushing to reduce immigration levels, a cause championed by former Prime Minister Tony Abbott and Peter Dutton, the immigration minister.	news_1059683_6	Q_4597_0
3.0118250846862793	As the Liberal Party seeks to heal wounds from a failed attempt to install Home Affairs Minister Peter Dutton as prime minister, conservatives within the party are seeking to depose another moderate from within their federal ranks.	<--As the Liberal Party seeks to heal wounds from a failed attempt to install Home Affairs Minister Peter Dutton as prime minister, conservatives within the party are seeking to depose another moderate from within their federal ranks.	news_1302372_0	Q_4597_0
2.9834046363830566	Mr Dutton has consistently polled behind other prominent Liberal Party figures as a preferred leader among voters.	<--Mr Dutton has consistently polled behind other prominent Liberal Party figures as a preferred leader among voters.	news_1296174_48	Q_4597_0
2.939065456390381	Dutton   the Australian politician, rather than any of the American counterparts   is a figure from the Liberal Party s right wing, as opposed to the more centrist Turnbull.	<--Dutton   the Australian politician, rather than any of the American counterparts   is a figure from the Liberal Party s right wing, as opposed to the more centrist Turnbull.	news_1297001_35	Q_4597_0
2.9045228958129883	The embattled Australian prime minister s announcement comes as Peter Dutton, a former home affairs minister, canvasses colleagues within the ruling Liberal Party to unseat Turnbull.	<--The embattled Australian prime minister s announcement comes as Peter Dutton, a former home affairs minister, canvasses colleagues within the ruling Liberal Party to unseat Turnbull.	news_1296051_0	Q_4597_0
2.8915646076202393	Some want Peter Dutton to take over, to sharpen the differentiation with the Labor Party and give the Liberal Party that distinctly conservative hue craved by the "base", that thinning band of greying members.	<--Some want Peter Dutton to take over, to sharpen the differentiation with the Labor Party and give the Liberal Party that distinctly conservative hue craved by the "base", that thinning band of greying members.	news_1289241_8	Q_4597_0
2.882031202316284	Peter Craig Dutton (born 18 November 1970), Australian politician, has been a Liberal member of the Australian House of Representatives representing the Division of Dickson, Queensland since the November 2001 federal election when he defeated high-profile sitting Labor member Cheryl Kernot.	<--Peter Craig Dutton (born 18 November 1970), Australian politician, has been a Liberal member of the Australian House of Representatives representing the Division of Dickson, Queensland since the November 2001 federal election when he defeated high-profile sitting Labor member Cheryl Kernot.	wiki_2165556_0	Q_4597_0
2.8141894340515137	But Mr Turnbull's central challenge   and his only real hope   will be to try to convince as many colleagues as possible that actually it is he, not Mr Dutton, who has "the best prospect of leading the Liberal party to success at the next election".	<--But Mr Turnbull's central challenge   and his only real hope   will be to try to convince as many colleagues as possible that actually it is he, not Mr Dutton, who has "the best prospect of leading the Liberal party to success at the next election".	news_1291659_46	Q_4597_0
2.772841691970825	Peter Dutton, an Abbott supporter, retained his position as Minister for Immigration, following Turnbull's replacement of Abbott as Liberal leader.	<--Peter Dutton, an Abbott supporter, retained his position as Minister for Immigration, following Turnbull's replacement of Abbott as Liberal leader.	wiki_881937_184	Q_4597_0
2.7347512245178223	Key points: Peter Craig Dutton is widely tipped to be Australia's next Prime Minister He wants to reduce immigration and pursue populist, high-spending policies Even if he becomes leader, he will face an election within the next year If he does win the Liberal leadership he must flip policies and unite a divided party.	<--Key points: Peter Craig Dutton is widely tipped to be Australia's next Prime Minister He wants to reduce immigration and pursue populist, high-spending policies Even if he becomes leader, he will face an election within the next year If he does win the Liberal leadership he must flip policies and unite a divided party.	news_1296174_1	Q_4597_0
2.7148070335388184	Meanwhile, Tasmanian senator Eric Abetz, a backer of failed leadership aspirant Peter Dutton , has lauded the abilities of Scott Morrison and Josh Frydenberg to bring "unity and stability" after a week of manoeuvring and a cancellation of question time due to Liberal chaos .	<--Meanwhile, Tasmanian senator Eric Abetz, a backer of failed leadership aspirant Peter Dutton , has lauded the abilities of Scott Morrison and Josh Frydenberg to bring "unity and stability" after a week of manoeuvring and a cancellation of question time due to Liberal chaos .	news_1300981_2	Q_4597_0
2.707979679107666	Peter Dutton commended Richard Colbeck as lead candidate on August 17, and a spokesman for the Home Affairs Minister said that remained his position following the spill.	<--Peter Dutton commended Richard Colbeck as lead candidate on August 17, and a spokesman for the Home Affairs Minister said that remained his position following the spill.	news_1320221_8	Q_4597_0
2.689146041870117	Key points: Three senior ministers withdraw support for Prime Minister Malcolm Turnbull Peter Dutton planning second leadership challenge Vote to challenge Dutton's eligibility in High Court fails Senior Liberals expect Peter Dutton has enough support to become leader with Victorian Greg Hunt as his deputy.	<--Key points: Three senior ministers withdraw support for Prime Minister Malcolm Turnbull Peter Dutton planning second leadership challenge Vote to challenge Dutton's eligibility in High Court fails Senior Liberals expect Peter Dutton has enough support to become leader with Victorian Greg Hunt as his deputy.	news_1295774_1	Q_4597_0
2.6854164600372314	Dutton has been touted as a future Liberal leader.	<--Dutton has been touted as a future Liberal leader.	wiki_2165556_5	Q_4597_0
2.6425158977508545	Peter Dutton said he told Prime Minister Malcolm Turnbull on Thursday that he no longer had the support of a majority of lawmakers in the ruling conservative Liberal Party.	<--Peter Dutton said he told Prime Minister Malcolm Turnbull on Thursday that he no longer had the support of a majority of lawmakers in the ruling conservative Liberal Party.	news_1295715_21	Q_4597_0
2.6425137519836426	Peter Dutton said he told Prime Minister Malcolm Turnbull on Thursday that he no longer had the support of a majority of lawmakers in the ruling conservative Liberal Party.	<--Peter Dutton said he told Prime Minister Malcolm Turnbull on Thursday that he no longer had the support of a majority of lawmakers in the ruling conservative Liberal Party.	news_1295789_18	Q_4597_0
2.6211869716644287	"We've been facing a malicious attack from the hard right of the Coalition, led by senator Eric Abetz and Peter Dutton trying to take away the independence of the GetUp movement," he said.	<--"We've been facing a malicious attack from the hard right of the Coalition, led by senator Eric Abetz and Peter Dutton trying to take away the independence of the GetUp movement," he said.	news_725866_20	Q_4597_0
2.6211838722229004	"We've been facing a malicious attack from the hard right of the Coalition, led by senator Eric Abetz and Peter Dutton trying to take away the independence of the GetUp movement," he said.	<--"We've been facing a malicious attack from the hard right of the Coalition, led by senator Eric Abetz and Peter Dutton trying to take away the independence of the GetUp movement," he said.	news_725604_23	Q_4597_0
2.607377052307129	A huge Cabinet reshuffle is inevitable, and the Liberals' public meltdown this week has reinforced the divide between Mr Dutton's conservatives and the moderate wing of the party.	<--A huge Cabinet reshuffle is inevitable, and the Liberals' public meltdown this week has reinforced the divide between Mr Dutton's conservatives and the moderate wing of the party.	news_1297848_60	Q_4597_0
2.583218574523926	On August 21, 2018, the prime minister came narrowly close to losing in a party-room showdown against one-time loyal lieutenant and leading conservative, Mr Dutton.	<--On August 21, 2018, the prime minister came narrowly close to losing in a party-room showdown against one-time loyal lieutenant and leading conservative, Mr Dutton.	news_1298118_39	Q_4597_0
2.5299534797668457	He has managed to straddle factions in the Liberal Party really nicely in the last couple of decades,  she said.	<--He has managed to straddle factions in the Liberal Party really nicely in the last couple of decades,  she said.	news_1298147_16	Q_4597_0
2.5299503803253174	He has managed to straddle factions in the Liberal Party really nicely in the last couple of decades,  she said.	<--He has managed to straddle factions in the Liberal Party really nicely in the last couple of decades,  she said.	news_1299156_23	Q_4597_0
2.5276596546173096	On Tuesday, Prime Minister Malcolm Turnbull announced Immigration Minister Peter Dutton would lead the super-ministry , adding ASIO and the AFP to his responsibilities.	<--On Tuesday, Prime Minister Malcolm Turnbull announced Immigration Minister Peter Dutton would lead the super-ministry , adding ASIO and the AFP to his responsibilities.	news_523226_2	Q_4597_0
2.506577491760254	Peter Dutton is so far on the right within the Liberal Party that there will be conservatives would not relish voting for him,  said Jill Sheppard, a lecturer at the Australian National University.	<--Peter Dutton is so far on the right within the Liberal Party that there will be conservatives would not relish voting for him,  said Jill Sheppard, a lecturer at the Australian National University.	news_1295926_41	Q_4597_0
2.4809794425964355	Dutton has told the prime minister that a majority of Liberal Party lawmakers   at least 43   don t support his leadership.	<--Dutton has told the prime minister that a majority of Liberal Party lawmakers   at least 43   don t support his leadership.	news_1297955_12	Q_4597_0
2.473249673843384	Dutton has told the prime minister that a majority of Liberal Party lawmakers   at least 43   don't support his leadership.	<--Dutton has told the prime minister that a majority of Liberal Party lawmakers   at least 43   don't support his leadership.	news_1298040_9	Q_4597_0
2.4455344676971436	His reintegration by the National Liberal Party effectively split the movement into two competing factions: the "Flevists", or "Liberal Democratic Party", represented the middle class and "petite bourgeoisie" vote; the "Sturdzists" mainly brought together landowners and bankers.	<--His reintegration by the National Liberal Party effectively split the movement into two competing factions: the "Flevists", or "Liberal Democratic Party", represented the middle class and "petite bourgeoisie" vote; the "Sturdzists" mainly brought together landowners and bankers.	wiki_1489697_190	Q_4597_0
2.4280307292938232	The events of Tuesday raised questions of whether the election of Peter Dutton as Liberal leader and prime minister would see government members defect to the crossbench.	<--The events of Tuesday raised questions of whether the election of Peter Dutton as Liberal leader and prime minister would see government members defect to the crossbench.	news_1294385_126	Q_4597_0
2.3591413497924805	Mr Dutton said he ran for the top job because he believes he is the best person to lead the Liberals to the next election, and "to ensure Bill Shorten never becomes Prime Minister of this country".	<--Mr Dutton said he ran for the top job because he believes he is the best person to lead the Liberals to the next election, and "to ensure Bill Shorten never becomes Prime Minister of this country".	news_1293933_9	Q_4597_0
2.3454740047454834	Peter Dutton, Scott Morrison and Julie Bishop Former Home Affairs Minister Peter Dutton, Foreign Minister Julie Bishop and Treasurer Scott Morrison are seen as leading contenders in the event of a ballot.	<--Peter Dutton, Scott Morrison and Julie Bishop Former Home Affairs Minister Peter Dutton, Foreign Minister Julie Bishop and Treasurer Scott Morrison are seen as leading contenders in the event of a ballot.	news_1297964_8	Q_4597_0
2.3386569023132324	Dutton supporter Mathias Cormann says he is confident that the meeting of lawmakers in the conservative Liberal Party will go ahead.	<--Dutton supporter Mathias Cormann says he is confident that the meeting of lawmakers in the conservative Liberal Party will go ahead.	news_1298097_11	Q_4597_0
2.3386552333831787	Dutton supporter Mathias Cormann says he is confident that the meeting of lawmakers in the conservative Liberal Party will go ahead.	<--Dutton supporter Mathias Cormann says he is confident that the meeting of lawmakers in the conservative Liberal Party will go ahead.	news_1299933_41	Q_4597_0
2.3386547565460205	Dutton supporter Mathias Cormann says he is confident that the meeting of lawmakers in the conservative Liberal Party will go ahead.	<--Dutton supporter Mathias Cormann says he is confident that the meeting of lawmakers in the conservative Liberal Party will go ahead.	news_1298416_23	Q_4597_0
2.3279788494110107	Senator Eric Abetz, who supports Mr Dutton, said the Liberal Party's Federal Executive had unanimously called on the party to resolve the leadership issue once and for all.	<--Senator Eric Abetz, who supports Mr Dutton, said the Liberal Party's Federal Executive had unanimously called on the party to resolve the leadership issue once and for all.	news_1298155_4	Q_4597_0
2.2990951538085938	Map: Strathpine 4500 The Queensland electoral office of Liberal leadership contender Peter Dutton has been vandalised at Strathpine, north of Brisbane, with brick pavers thrown at the front windows and doors, police say.	<--Map: Strathpine 4500 The Queensland electoral office of Liberal leadership contender Peter Dutton has been vandalised at Strathpine, north of Brisbane, with brick pavers thrown at the front windows and doors, police say.	news_1297569_1	Q_4597_0
2.26556396484375	Speaking to CNN, former Liberal Party leader John Hewson issued a note of caution, saying Dutton wasn't a "natural leader" and his likely policy agenda might be too extreme for average Australians.	<--Speaking to CNN, former Liberal Party leader John Hewson issued a note of caution, saying Dutton wasn't a "natural leader" and his likely policy agenda might be too extreme for average Australians.	news_1294737_11	Q_4597_0
2.204523801803589	(CNN) Former Queensland policeman Peter Dutton is pushing to be Australia's 30th Prime Minister, the country's sixth in just over 10 years, as a conservative leadership coup against current leader Malcolm Turnbull gains momentum.	<--(CNN) Former Queensland policeman Peter Dutton is pushing to be Australia's 30th Prime Minister, the country's sixth in just over 10 years, as a conservative leadership coup against current leader Malcolm Turnbull gains momentum.	news_1294737_4	Q_4597_0
2.197572946548462	In 1990 Dutton became Chair of the Bayside Young Liberals.	<--In 1990 Dutton became Chair of the Bayside Young Liberals.	wiki_2165556_12	Q_4597_0
2.1772966384887695	Fresh details have emerged about the "nasty" standover tactics employed by the Liberal "insurgents" as they tried to build support for Peter Dutton during last month's failed leadership coup.	<--Fresh details have emerged about the "nasty" standover tactics employed by the Liberal "insurgents" as they tried to build support for Peter Dutton during last month's failed leadership coup.	news_1322562_0	Q_4597_0
2.1769347190856934	After the initial shock of the Prime Minister bringing on a leadership vote in the Liberal party room on Tuesday morning, the Dutton forces had taken the afternoon to regroup, then decided in the early evening to ramp up the pressure by a series of clearly coordinated resignation offers.	<--After the initial shock of the Prime Minister bringing on a leadership vote in the Liberal party room on Tuesday morning, the Dutton forces had taken the afternoon to regroup, then decided in the early evening to ramp up the pressure by a series of clearly coordinated resignation offers.	news_1293865_22	Q_4597_0
2.1590397357940674	Lawmakers from Australia's ruling Liberal Party were pressing for second leadership vote as early as Wednesday, a day after Prime Minister Malcolm Turnbull narrowly survived a challenge from former home minister Peter Dutton, The Australian daily reported.	<--Lawmakers from Australia's ruling Liberal Party were pressing for second leadership vote as early as Wednesday, a day after Prime Minister Malcolm Turnbull narrowly survived a challenge from former home minister Peter Dutton, The Australian daily reported.	news_1294209_0	Q_4597_0
2.139216899871826	But instead of favourite son Peter Dutton, the Liberal Party backed Scott Morrison to replace Malcolm Turnbull and become Australia's 30th Prime Minister.	<--But instead of favourite son Peter Dutton, the Liberal Party backed Scott Morrison to replace Malcolm Turnbull and become Australia's 30th Prime Minister.	news_1299565_1	Q_4597_0
2.0666558742523193	Former minister Peter Dutton has told Turnbull that he wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister on Thursday.	<--Former minister Peter Dutton has told Turnbull that he wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister on Thursday.	news_1295715_14	Q_4597_0
2.066655158996582	Former minister Peter Dutton has told Turnbull that he wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister on Thursday.	<--Former minister Peter Dutton has told Turnbull that he wants lawmakers in the ruling conservative Liberal Party to elect a new prime minister on Thursday.	news_1295789_11	Q_4597_0
2.0422587394714355	Key points: Senior ministers Greg Hunt and Steve Ciobo offer resignations Peter Dutton has resigned from frontbench Nationals MPs warn against meddling in Liberal party affairs The ABC understands Health Minister Greg Hunt and Trade Minister Steve Ciobo are the latest frontbenchers to offer their resignations, but they have not been accepted.	<--Key points: Senior ministers Greg Hunt and Steve Ciobo offer resignations Peter Dutton has resigned from frontbench Nationals MPs warn against meddling in Liberal party affairs The ABC understands Health Minister Greg Hunt and Trade Minister Steve Ciobo are the latest frontbenchers to offer their resignations, but they have not been accepted.	news_1292870_1	Q_4597_0
