

Expanded question: ' What position Steve Bullock had worked in 1996?'
Question: What position Steve Bullock had worked in 1996?
8.243512153625488	In 1996, Steve Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	<--In 1996, Steve Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	N/A	Q_6437_0
1.181991457939148	Bullock returned to Montana in 2004, working in private practice in Helena where he represented individuals, consumer organizations, labor unions, peace officers, associations of political subdivisions, and small and large businesses.	<--Bullock returned to Montana in 2004, working in private practice in Helena where he represented individuals, consumer organizations, labor unions, peace officers, associations of political subdivisions, and small and large businesses.	wiki_1292280_23	Q_6437_0
1.0787039995193481	On leaving the Civil Service, Bullock went on to pursue a successful career in business, being appointed to the board of a number of public companies.	<--On leaving the Civil Service, Bullock went on to pursue a successful career in business, being appointed to the board of a number of public companies.	wiki_3008146_45	Q_6437_0
1.0294342041015625	He scored 15 goals in 1966̢  67 as the "U's" finished in 13th position, but relegation was suffered in 1967̢  68 and Bullock joined Exeter City in August 1968.	<--He scored 15 goals in 1966̢  67 as the "U's" finished in 13th position, but relegation was suffered in 1967̢  68 and Bullock joined Exeter City in August 1968.	wiki_1255929_10	Q_6437_0
0.9956883192062378	Bullock was one of fourteen Presbyterians, to date, to serve as Chaplain of the Senate.	<--Bullock was one of fourteen Presbyterians, to date, to serve as Chaplain of the Senate.	wiki_5439978_18	Q_6437_0
0.9721785187721252	For ten peace time years, Bullock worked as if already at war.	<--For ten peace time years, Bullock worked as if already at war.	wiki_3008146_27	Q_6437_0
0.9319976568222046	Bullock left Ossett in 1991 and worked as a scout for a number of Football League clubs.	<--Bullock left Ossett in 1991 and worked as a scout for a number of Football League clubs.	wiki_2496753_9	Q_6437_0
0.8998594284057617	In 1980, Bullock became manager of Globe-Union's Chemical Research Department, which later became part of Johnson Controls, Inc.	<--In 1980, Bullock became manager of Globe-Union's Chemical Research Department, which later became part of Johnson Controls, Inc.	wiki_3668987_35	Q_6437_0
0.8395627737045288	In the 1990s he continued to work as a recording engineer and producer, producing several releases by Modest Mouse including their 1996 debut album "This Is a Long Drive for Someone with Nothing to Think About".	<--In the 1990s he continued to work as a recording engineer and producer, producing several releases by Modest Mouse including their 1996 debut album "This Is a Long Drive for Someone with Nothing to Think About".	wiki_5337114_20	Q_6437_0
0.8023427128791809	In 2017, Montana Governor Steve Bullock appointed John Lewis to his Cabinet as Director of the Department of Administration.	<--In 2017, Montana Governor Steve Bullock appointed John Lewis to his Cabinet as Director of the Department of Administration.	wiki_925833_6	Q_6437_0
0.7916967272758484	Bullock then travelled to the United States, where he became a metallurgical chemist in a large malleable-iron metal factory for five years.	<--Bullock then travelled to the United States, where he became a metallurgical chemist in a large malleable-iron metal factory for five years.	wiki_1484452_9	Q_6437_0
0.7835130095481873	Bullock was selected 42nd overall in the 1999 NBA Draft by the NBA club the Minnesota Timberwolves, and he was then traded to the Orlando Magic for cash considerations.	<--Bullock was selected 42nd overall in the 1999 NBA Draft by the NBA club the Minnesota Timberwolves, and he was then traded to the Orlando Magic for cash considerations.	wiki_3194893_15	Q_6437_0
0.7394588589668274	Bullock worked to expand the operations of the SPG.	<--Bullock worked to expand the operations of the SPG.	wiki_2345455_9	Q_6437_0
0.7327436804771423	Bullock then entered private practice as an attorney for Steptoe &amp; Johnson.	<--Bullock then entered private practice as an attorney for Steptoe &amp; Johnson.	wiki_1292280_4	Q_6437_0
0.686318039894104	He subsequently worked for the Advertising Association (1994-1997) and for the British Road Federation (1997-2001), both in similar head of public relations roles.	<--He subsequently worked for the Advertising Association (1994-1997) and for the British Road Federation (1997-2001), both in similar head of public relations roles.	wiki_29287_10	Q_6437_0
0.6568768620491028	Bullock is then promoted to lieutenant and becomes the shift commander of the GCPD's Major Crimes Unit.	<--Bullock is then promoted to lieutenant and becomes the shift commander of the GCPD's Major Crimes Unit.	wiki_4649027_67	Q_6437_0
0.6380342841148376	In 2002, Bullock was employed by Dabel Brothers Productions promotions Department.	<--In 2002, Bullock was employed by Dabel Brothers Productions promotions Department.	wiki_795582_8	Q_6437_0
0.5729044675827026	Steve Bullock, for one, is identified as Montana s attorney general for quite some time but has been its governor since 2013 and, more recently, viewed as a presidential hopefu l.	<--Steve Bullock, for one, is identified as Montana s attorney general for quite some time but has been its governor since 2013 and, more recently, viewed as a presidential hopefu l.	news_1220785_28	Q_6437_0
0.501773476600647	In 1972, Bullock rejoined the Electrochemical Research Department of the Gates Company.	<--In 1972, Bullock rejoined the Electrochemical Research Department of the Gates Company.	wiki_3668987_20	Q_6437_0
0.474539577960968	Bullock took his job seriously, deputizing several residents and tackling the job of civilizing the camp.	<--Bullock took his job seriously, deputizing several residents and tackling the job of civilizing the camp.	wiki_2257072_31	Q_6437_0
0.449773371219635	He served as a military assistant to John Davis, who was Governor of Massachusetts that year, after which he was frequently referred to as "Colonel Bullock".	<--He served as a military assistant to John Davis, who was Governor of Massachusetts that year, after which he was frequently referred to as "Colonel Bullock".	wiki_557817_16	Q_6437_0
0.43638449907302856	Before entering politics, Mr Bullock controlled the powerful right-wing "Shoppies" retail union in Western Australia and used his influence to block Sunday retail trading under successive Labor state governments.	<--Before entering politics, Mr Bullock controlled the powerful right-wing "Shoppies" retail union in Western Australia and used his influence to block Sunday retail trading under successive Labor state governments.	news_1141947_13	Q_6437_0
0.41176074743270874	On March 24, 1879, Bullock was appointed Chaplain of the Senate, a position in which he served until 1883.	<--On March 24, 1879, Bullock was appointed Chaplain of the Senate, a position in which he served until 1883.	wiki_5439978_17	Q_6437_0
0.3892081379890442	When Roosevelt became vice president under President William McKinley, he appointed Bullock as the first forest supervisor of the Black Hills Reserve.	<--When Roosevelt became vice president under President William McKinley, he appointed Bullock as the first forest supervisor of the Black Hills Reserve.	wiki_2257072_58	Q_6437_0
0.38317230343818665	As state secretary of the SDA, Bullock wielded considerable power in the WA branch of the Labor Party.	<--As state secretary of the SDA, Bullock wielded considerable power in the WA branch of the Labor Party.	wiki_3595385_10	Q_6437_0
0.37583985924720764	Bullock also served in the U.S. Air Force during the Korean War.	<--Bullock also served in the U.S. Air Force during the Korean War.	wiki_3834034_59	Q_6437_0
0.37439942359924316	In 1996, Bullock's partner of six years, John Casey, died from AIDS-related complications.	<--In 1996, Bullock's partner of six years, John Casey, died from AIDS-related complications.	wiki_4924099_27	Q_6437_0
0.3424229919910431	Bullock served as coach at Halifax Town at the end of his playing career and became the manager on 13 July 1981.	<--Bullock served as coach at Halifax Town at the end of his playing career and became the manager on 13 July 1981.	wiki_2496753_2	Q_6437_0
0.33112961053848267	Bullock was then appointed U.S. Marshal for South Dakota for the next nine years.	<--Bullock was then appointed U.S. Marshal for South Dakota for the next nine years.	wiki_2257072_60	Q_6437_0
0.28217944502830505	In the lead-up to the 2013 Australian federal election Bullock reportedly secured a deal with the secretary of United Voice, Dave Kelly, whereby Bullock would take the number one position from left-aligned Senator Louise Pratt in exchange for Kelly's choice of Sue Lines to fill the Senate seat vacated by Chris Evans.	<--In the lead-up to the 2013 Australian federal election Bullock reportedly secured a deal with the secretary of United Voice, Dave Kelly, whereby Bullock would take the number one position from left-aligned Senator Louise Pratt in exchange for Kelly's choice of Sue Lines to fill the Senate seat vacated by Chris Evans.	wiki_3595385_16	Q_6437_0
0.22922855615615845	The following year, Bullock starred with Matthew McConaughey in the film adaptation of John Grisham's novel "A Time to Kill" (1996).	<--The following year, Bullock starred with Matthew McConaughey in the film adaptation of John Grisham's novel "A Time to Kill" (1996).	wiki_4577148_5	Q_6437_0
0.17096276581287384	In 2008, Bullock was elected Attorney General of Montana, where he served one term from 2009 to 2013.	<--In 2008, Bullock was elected Attorney General of Montana, where he served one term from 2009 to 2013.	wiki_1292280_6	Q_6437_0
0.1478344202041626	He was advised to work in television and by 1996 was preparing his own program for ABC.	<--He was advised to work in television and by 1996 was preparing his own program for ABC.	wiki_3649356_13	Q_6437_0
0.12468979507684708	Bullock had a 34-year career in the British Consular Service starting in 1913 when his first posting was to New Orleans to deal with British refugees from the Mexican Revolution.	<--Bullock had a 34-year career in the British Consular Service starting in 1913 when his first posting was to New Orleans to deal with British refugees from the Mexican Revolution.	wiki_3544849_13	Q_6437_0
0.1006208136677742	As an Assistant Attorney General, Bullock wrote the landmark opinion that guaranteed public access to streams and rivers.	<--As an Assistant Attorney General, Bullock wrote the landmark opinion that guaranteed public access to streams and rivers.	wiki_1292280_19	Q_6437_0
0.09502553194761276	Sir Steve Bullock (born 1953) is the first directly elected mayor of the London Borough of Lewisham (since 2002).	<--Sir Steve Bullock (born 1953) is the first directly elected mayor of the London Borough of Lewisham (since 2002).	wiki_559525_0	Q_6437_0
0.009736128151416779	Bullock had a prominent supporting role in the science-fiction/action film "Demolition Man" (1993), followed by a leading role in "Speed" the following year.	<--Bullock had a prominent supporting role in the science-fiction/action film "Demolition Man" (1993), followed by a leading role in "Speed" the following year.	wiki_3803600_40	Q_6437_0
-0.054045576602220535	A much more careful politician than Schweitzer (who was weighing a run for president in 2014 until he suggested to a reporter that then-U.S. House Majority Leader Eric Cantor was gay), Bullock has worked hand-in-hand with a faction of moderate Republicans in Helena to push through some of his signature legislative achievements.	<--A much more careful politician than Schweitzer (who was weighing a run for president in 2014 until he suggested to a reporter that then-U.S. House Majority Leader Eric Cantor was gay), Bullock has worked hand-in-hand with a faction of moderate Republicans in Helena to push through some of his signature legislative achievements.	news_704858_68	Q_6437_0
-0.06535181403160095	As a young woman, Bullock worked at a law firm during the day and took shorthand and typing classes at night.	<--As a young woman, Bullock worked at a law firm during the day and took shorthand and typing classes at night.	wiki_4785675_5	Q_6437_0
-0.07971503585577011	Governor Steve Bullock appointed Judge Shea to serve on the Montana Supreme Court.	<--Governor Steve Bullock appointed Judge Shea to serve on the Montana Supreme Court.	wiki_420889_9	Q_6437_0
-0.10343115031719208	On top of his work with Sugar Ray, Bullock spends a great deal of time as a solo artist, appearing as a featured DJ at nightclubs all across the country.	<--On top of his work with Sugar Ray, Bullock spends a great deal of time as a solo artist, appearing as a featured DJ at nightclubs all across the country.	wiki_2939384_5	Q_6437_0
-0.11381318420171738	Though Bullock has a lower profile than many possible Democratic contenders, he has an experienced team of political advisers, including chief of staff Tom Lopach   the former executive director of the Democratic Senatorial Campaign Committee   and Nick Baldick, a veteran Democratic strategist.	<--Though Bullock has a lower profile than many possible Democratic contenders, he has an experienced team of political advisers, including chief of staff Tom Lopach   the former executive director of the Democratic Senatorial Campaign Committee   and Nick Baldick, a veteran Democratic strategist.	news_1448957_37	Q_6437_0
-0.11646642535924911	In September 1996, athletic director Joe Roberson learned that during the previous month Martin had tried to place deposits on apartments for Traylor and Louis Bullock.	<--In September 1996, athletic director Joe Roberson learned that during the previous month Martin had tried to place deposits on apartments for Traylor and Louis Bullock.	wiki_132421_63	Q_6437_0
-0.14561298489570618	Bullock later appointed Walsh to become the new Senator from Montana to replace Max Baucus, who'd been appointed Ambassador to China.	<--Bullock later appointed Walsh to become the new Senator from Montana to replace Max Baucus, who'd been appointed Ambassador to China.	wiki_1292280_55	Q_6437_0
-0.15436890721321106	In 1998, Bullock himself would urge the reelection of a Republican, then-Governor Bush.	<--In 1998, Bullock himself would urge the reelection of a Republican, then-Governor Bush.	wiki_3834034_9	Q_6437_0
-0.15870583057403564	Bullock was the fourth-ranked kicker in the nation coming out of high school with at least six formal collegiate scholarship offers.	<--Bullock was the fourth-ranked kicker in the nation coming out of high school with at least six formal collegiate scholarship offers.	wiki_1483888_8	Q_6437_0
-0.17258568108081818	(ABC News: Selina Ross) While studying at the University of Sydney in the 1970s, Mr Bullock joined the Liberal Club and was apparently responsible for recruiting future prime minister Tony Abbott, and encouraging him to stick with the party.	<--(ABC News: Selina Ross) While studying at the University of Sydney in the 1970s, Mr Bullock joined the Liberal Club and was apparently responsible for recruiting future prime minister Tony Abbott, and encouraging him to stick with the party.	news_1141947_17	Q_6437_0
-0.20917943120002747	Bullock returned to Texas A&amp;M to finish his petroleum engineering degree at the conclusion of his rookie season on injured reserve.	<--Bullock returned to Texas A&amp;M to finish his petroleum engineering degree at the conclusion of his rookie season on injured reserve.	wiki_1483888_15	Q_6437_0
-0.2106952667236328	Mr Bullock was a member of the Liberal Club at the University of Sydney While there he recruited Tony Abbott Mr Bullock once also controlled the powerful right-wing "Shoppies" Union in Western Australia The West Australian has also swapped states, moving to the northern Tasmanian city of Launceston, where he has become a paid up member of the Liberals.	<--Mr Bullock was a member of the Liberal Club at the University of Sydney While there he recruited Tony Abbott Mr Bullock once also controlled the powerful right-wing "Shoppies" Union in Western Australia The West Australian has also swapped states, moving to the northern Tasmanian city of Launceston, where he has become a paid up member of the Liberals.	news_1141947_2	Q_6437_0
-0.2253645658493042	Steve Bullock, the Attorney General of Montana, investigated APF for possible violations of the Montana Unfair Trade Practices and Consumer Protection Act in connection with dubious statements on APF's website with regard to APF's operations and supposed contracts with the federal government.	<--Steve Bullock, the Attorney General of Montana, investigated APF for possible violations of the Montana Unfair Trade Practices and Consumer Protection Act in connection with dubious statements on APF's website with regard to APF's operations and supposed contracts with the federal government.	wiki_1284056_20	Q_6437_0
-0.24921570718288422	In 1968, Bullock became a trustee and chairman of the exhibition committee during the formative years of Friends of Photography in Carmel, California.	<--In 1968, Bullock became a trustee and chairman of the exhibition committee during the formative years of Friends of Photography in Carmel, California.	wiki_1983230_70	Q_6437_0
-0.26157596707344055	In a May op-ed in the Great Falls Tribune, Bullock said he supports universal background checks and called for tighter limits on high-capacity magazines   a shift from his position on gun rights two years earlier.	<--In a May op-ed in the Great Falls Tribune, Bullock said he supports universal background checks and called for tighter limits on high-capacity magazines   a shift from his position on gun rights two years earlier.	news_1289159_12	Q_6437_0
-0.26640161871910095	Until the very end of his life, at the age of 90, Bullock remained an active and influential presence in the fields of neuroscience and neuroethology.	<--Until the very end of his life, at the age of 90, Bullock remained an active and influential presence in the fields of neuroscience and neuroethology.	wiki_2835764_12	Q_6437_0
-0.2790697515010834	In Utah Territory, Bullock was the clerk of the Perpetual Emigrating Fund Company, clerk to the Utah Territorial Legislature, and was an occasional clerk to Brigham Young and the Quorum of the Twelve Apostles.	<--In Utah Territory, Bullock was the clerk of the Perpetual Emigrating Fund Company, clerk to the Utah Territorial Legislature, and was an occasional clerk to Brigham Young and the Quorum of the Twelve Apostles.	wiki_1347482_13	Q_6437_0
-0.30360841751098633	For a time Bullock works with the international spy agency Checkmate.	<--For a time Bullock works with the international spy agency Checkmate.	wiki_4649027_40	Q_6437_0
-0.36140885949134827	Stephen Clark Bullock (born April 11, 1966) is an American politician and lawyer who is the 24th and current Governor of Montana, serving since 2013.	<--Stephen Clark Bullock (born April 11, 1966) is an American politician and lawyer who is the 24th and current Governor of Montana, serving since 2013.	wiki_1292280_0	Q_6437_0
-0.3882637917995453	In later years Bullock was a stockbroker in Lead, South Dakota.	<--In later years Bullock was a stockbroker in Lead, South Dakota.	wiki_3397494_10	Q_6437_0
-0.4087287485599518	While living in Paris, Bullock became fascinated with the work of the Impressionists and post-Impressionists.	<--While living in Paris, Bullock became fascinated with the work of the Impressionists and post-Impressionists.	wiki_1983230_9	Q_6437_0
-0.44347983598709106	In 1996, following the merger of Bullocks and The Broadway into Macy's, the former Bullock's became Macy's Apparel store, while the Macy̢  s south store (where the Broadway resided) was closed.	<--In 1996, following the merger of Bullocks and The Broadway into Macy's, the former Bullock's became Macy's Apparel store, while the Macy̢  s south store (where the Broadway resided) was closed.	wiki_3495936_22	Q_6437_0
-0.45983773469924927	These included Traylor's MVP awards in the 1997 NIT and 1998 Big Ten Tournament, as well as Bullock's standing as the Big Ten's all-time leader in 3-point field goals and the school's third all-time leading scorer and all-time leader free throws made.	<--These included Traylor's MVP awards in the 1997 NIT and 1998 Big Ten Tournament, as well as Bullock's standing as the Big Ten's all-time leader in 3-point field goals and the school's third all-time leading scorer and all-time leader free throws made.	wiki_132421_170	Q_6437_0
-0.4871041178703308	He was hired by the WWF in June 1996.	<--He was hired by the WWF in June 1996.	wiki_883192_11	Q_6437_0
-0.4881139099597931	On October 13 Steve Bullock, the Attorney General of Montana, dropped his investigation.	<--On October 13 Steve Bullock, the Attorney General of Montana, dropped his investigation.	wiki_1284056_27	Q_6437_0
-0.5009307265281677	Bullock declined, arguing that he was more valuable to the war effort as an industrialist.	<--Bullock declined, arguing that he was more valuable to the war effort as an industrialist.	wiki_3008146_54	Q_6437_0
-0.5548591613769531	It cost Chris Webber his All-American 1993 honors, Traylor his MVP awards in the 1997 NIT and 1998 Big Ten Tournament, as well as Bullock's standing as the school's third all-time leading scorer and all-time leader in free throws and the Big Ten's all-time leader in 3-point field goals (surpassed in 2011).	<--It cost Chris Webber his All-American 1993 honors, Traylor his MVP awards in the 1997 NIT and 1998 Big Ten Tournament, as well as Bullock's standing as the school's third all-time leading scorer and all-time leader in free throws and the Big Ten's all-time leader in 3-point field goals (surpassed in 2011).	wiki_132421_17	Q_6437_0
-0.5714514255523682	Bullock, who authored the state's opinion guaranteeing access to rivers, streams, and public lands, worked with the legislature and Governor Brian Schweitzer to codify the access opinion into law.	<--Bullock, who authored the state's opinion guaranteeing access to rivers, streams, and public lands, worked with the legislature and Governor Brian Schweitzer to codify the access opinion into law.	wiki_1292280_39	Q_6437_0
-0.5909760594367981	United Voice, a left-wing union, called for Bullock to resign his Senate place.	<--United Voice, a left-wing union, called for Bullock to resign his Senate place.	wiki_3595385_31	Q_6437_0
+++++


Expanded question: 'Mike Cooney Montana Steve Bullock State Who was the running mate?'
Question: Who was the running mate?
7.8910322189331055	Steve Bullock's running mate was John Walsh, the former Adjutant General of the Montana National Guard.	<--Steve Bullock's running mate was John Walsh, the former Adjutant General of the Montana National Guard.	N/A	Q_6437_1
8.59034538269043	Drew Wrigley was his running mate.	<--Drew Wrigley was his running mate.	wiki_2559827_72	Q_6437_1
8.542981147766113	Ellen Chaffee was his running mate.	<--Ellen Chaffee was his running mate.	wiki_2559827_75	Q_6437_1
8.499435424804688	Rosemary Giumarra was his running mate.	<--Rosemary Giumarra was his running mate.	wiki_1443567_67	Q_6437_1
8.320054054260254	On July 14, it was reported that Mike Pence had been selected as Donald Trump's running mate, following his acceptance of Trump's offer.	<--On July 14, it was reported that Mike Pence had been selected as Donald Trump's running mate, following his acceptance of Trump's offer.	wiki_851311_24	Q_6437_1
8.161785125732422	His running mate was Anita Rios.	<--His running mate was Anita Rios.	wiki_1536637_18	Q_6437_1
8.159744262695312	His running mate was Ann Leech.	<--His running mate was Ann Leech.	wiki_1536637_16	Q_6437_1
8.104083061218262	Former Secretary of State Hillary Clinton, the 2016 Democratic nominee for President of the United States, chose Senator Tim Kaine of Virginia as her running mate.	<--Former Secretary of State Hillary Clinton, the 2016 Democratic nominee for President of the United States, chose Senator Tim Kaine of Virginia as her running mate.	wiki_851312_1	Q_6437_1
8.0921049118042	Winona LaDuke, a Native American activist and economist from Wisconsin, was named as his running-mate.	<--Winona LaDuke, a Native American activist and economist from Wisconsin, was named as his running-mate.	wiki_1443567_32	Q_6437_1
8.070605278015137	Senator Kaine was Hillary Clinton s running mate in the 2016 presidential election.	<--Senator Kaine was Hillary Clinton s running mate in the 2016 presidential election.	news_188591_3	Q_6437_1
