

Expanded question: ' When did Trader Joe's open its first store?'
Question: When did Trader Joe's open its first store?
10.47512435913086	The first Trader Joe's store was opened in 1967 by founder Joe Coulombe in Pasadena, California.	<--The first Trader Joe's store was opened in 1967 by founder Joe Coulombe in Pasadena, California.	N/A	Q_3358_0
6.413180351257324	The company's first store was founded by Arthur Ryan on behalf of the Weston family in June 1969 on 47 Mary Street, Dublin, the store still remains operative to this day.	<--The company's first store was founded by Arthur Ryan on behalf of the Weston family in June 1969 on 47 Mary Street, Dublin, the store still remains operative to this day.	wiki_3392993_1	Q_3358_0
6.336010456085205	Pronto Markets was in the midst of its transformation from a convenience store to the Trader Joe's specialty grocery chain, which would officially be founded in 1967.	<--Pronto Markets was in the midst of its transformation from a convenience store to the Trader Joe's specialty grocery chain, which would officially be founded in 1967.	wiki_4344212_11	Q_3358_0
6.311429023742676	While mainly concentrated to the Northeast, in 1997 the company opened its first store in Falls Church, Virginia.	<--While mainly concentrated to the Northeast, in 1997 the company opened its first store in Falls Church, Virginia.	wiki_2780897_11	Q_3358_0
6.245907783508301	His first store opened on Old Eastern Avenue in 1943.	<--His first store opened on Old Eastern Avenue in 1943.	wiki_896840_4	Q_3358_0
6.236040115356445	In 1971, the company opened its first drive-through store, and in 1972, it opened its 100th store.	<--In 1971, the company opened its first drive-through store, and in 1972, it opened its 100th store.	wiki_5104405_29	Q_3358_0
6.1961565017700195	The first store opened in the early 1960s, in Portland, with another opened soon afterward in Eugene, in 1963.	<--The first store opened in the early 1960s, in Portland, with another opened soon afterward in Eugene, in 1963.	wiki_4387429_30	Q_3358_0
6.159258842468262	In 2017, it opened its first store in North Alabama.	<--In 2017, it opened its first store in North Alabama.	wiki_1847189_27	Q_3358_0
6.046600341796875	First established in January 2012 under the name "Transilvania Trading", the shop moved to a new location in Vancouver's Kitsilano neighbourhood under the name "Pirate Joe's" later in the year.	<--First established in January 2012 under the name "Transilvania Trading", the shop moved to a new location in Vancouver's Kitsilano neighbourhood under the name "Pirate Joe's" later in the year.	wiki_2299800_9	Q_3358_0
5.879860877990723	Its first store, located in Quezon City, opened in 1984.	<--Its first store, located in Quezon City, opened in 1984.	wiki_3111274_98	Q_3358_0
5.871866703033447	In September 2010, the company launched 2nd &amp; Charles, a trader of used media, with its first store in Hoover, Alabama across from Riverchase Galleria.	<--In September 2010, the company launched 2nd &amp; Charles, a trader of used media, with its first store in Hoover, Alabama across from Riverchase Galleria.	wiki_1847189_26	Q_3358_0
5.790884017944336	Joe Coulombe, the founder of Trader Joe's, said in an interview with the Los Angeles Times that Berning was brought into the company's main office in 1970 because he had expressed interest in wines. 1970 also coincided with the time that Trader Joe's began its "aggressive wine merchandising," which meant that Trader Joe's began offering wines at lower prices than had been previously available in the marketplace.	<--Joe Coulombe, the founder of Trader Joe's, said in an interview with the Los Angeles Times that Berning was brought into the company's main office in 1970 because he had expressed interest in wines. 1970 also coincided with the time that Trader Joe's began its "aggressive wine merchandising," which meant that Trader Joe's began offering wines at lower prices than had been previously available in the marketplace.	wiki_4344212_13	Q_3358_0
5.736880302429199	In 1996, the company opened its first stores on the East Coast: in Brookline and Cambridge both outside Boston.	<--In 1996, the company opened its first stores on the East Coast: in Brookline and Cambridge both outside Boston.	wiki_3097278_20	Q_3358_0
5.614535808563232	Robert Berning (January 25, 1935 ̢   July 19, 2008) was an American grocer and principal wine buyer for Trader Joe's specialty grocery store chain beginning in the 1970s.	<--Robert Berning (January 25, 1935 ̢   July 19, 2008) was an American grocer and principal wine buyer for Trader Joe's specialty grocery store chain beginning in the 1970s.	wiki_4344212_0	Q_3358_0
5.575809478759766	"BusinessWeek" reported that Trader Joe's quintupled the number of its stores between 1990 and 2001, and multiplied its profits by ten.	<--"BusinessWeek" reported that Trader Joe's quintupled the number of its stores between 1990 and 2001, and multiplied its profits by ten.	wiki_3097278_23	Q_3358_0
5.439350605010986	The first store was opened on October 30, 2014 in the city of Fremantle.	<--The first store was opened on October 30, 2014 in the city of Fremantle.	wiki_3111274_206	Q_3358_0
5.316762924194336	The first store opening cycle would be in March/April 2013, followed by four additional cycles later that year.	<--The first store opening cycle would be in March/April 2013, followed by four additional cycles later that year.	wiki_1160000_36	Q_3358_0
5.24668025970459	In 1950, Bergeron opened a Trader Vic's location in Hawaii and in 1951 at 20 Cosmo Place in San Francisco.	<--In 1950, Bergeron opened a Trader Vic's location in Hawaii and in 1951 at 20 Cosmo Place in San Francisco.	wiki_2153079_10	Q_3358_0
5.223737716674805	The Arboretum Market opened across the street in 1987 and featured upmarket retailers such as the city's only Saks Fifth Avenue (now Trader Joe's) along with smaller specialty shops.	<--The Arboretum Market opened across the street in 1987 and featured upmarket retailers such as the city's only Saks Fifth Avenue (now Trader Joe's) along with smaller specialty shops.	wiki_3032868_10	Q_3358_0
5.177253723144531	In February 2016, Joseph opened its first stand-alone menswear store at No.2 Savile Row in London.	<--In February 2016, Joseph opened its first stand-alone menswear store at No.2 Savile Row in London.	wiki_3515128_21	Q_3358_0
5.148009300231934	The first store opened in 1989 on Patpong Road in Bangkok.	<--The first store opened in 1989 on Patpong Road in Bangkok.	wiki_3111274_117	Q_3358_0
5.135794162750244	In November 2015 the first store opened in Rosebank, Johannesburg.	<--In November 2015 the first store opened in Rosebank, Johannesburg.	wiki_123109_137	Q_3358_0
5.080898284912109	In addition to its trading stations, the company opened stores in towns aimed at wholesale trade and Europeans, and by 1911, it had also opened around 50 "Mandala" village stores.	<--In addition to its trading stations, the company opened stores in towns aimed at wholesale trade and Europeans, and by 1911, it had also opened around 50 "Mandala" village stores.	wiki_1846258_41	Q_3358_0
4.8671064376831055	In 1985, Canadians Joe Mimran, Saul Mimran and Alfred Sung opened the first store in Toronto on Queen Street West.	<--In 1985, Canadians Joe Mimran, Saul Mimran and Alfred Sung opened the first store in Toronto on Queen Street West.	wiki_3321788_5	Q_3358_0
4.864294528961182	The company has grown to 41 stores across the region since it opened its first area store in 1997.	<--The company has grown to 41 stores across the region since it opened its first area store in 1997.	news_1286709_14	Q_3358_0
4.861654281616211	Longo's was founded by brothers Tommy, Joe and Gus Longo in 1956, who established their first store at the intersection of Yonge Street and Castlefield Avenue in Toronto.	<--Longo's was founded by brothers Tommy, Joe and Gus Longo in 1956, who established their first store at the intersection of Yonge Street and Castlefield Avenue in Toronto.	wiki_2585746_2	Q_3358_0
4.789772033691406	The restaurant chain opened its first store in Carmichael Road, Mumbai, on July 21, 1993.	<--The restaurant chain opened its first store in Carmichael Road, Mumbai, on July 21, 1993.	wiki_217506_7	Q_3358_0
4.733151912689209	In August 1956, the first store in the state of Ohio was opened through the acquisition of a pre-existing store in Van Wert, Ohio, and was quickly followed a few months later by the opening of a newly constructed store in Greenville, Ohio, in October.	<--In August 1956, the first store in the state of Ohio was opened through the acquisition of a pre-existing store in Van Wert, Ohio, and was quickly followed a few months later by the opening of a newly constructed store in Greenville, Ohio, in October.	wiki_2470885_14	Q_3358_0
4.716183185577393	In 1994, the first Jittery Joe̢  s opened in downtown Athens, near the famed 40 Watt Club.	<--In 1994, the first Jittery Joe̢  s opened in downtown Athens, near the famed 40 Watt Club.	wiki_3739200_1	Q_3358_0
4.660099983215332	A teaser campaign preceded the store opening and there was a line up to get into the store on opening day in September 1985.	<--A teaser campaign preceded the store opening and there was a line up to get into the store on opening day in September 1985.	wiki_2815802_36	Q_3358_0
4.6178131103515625	7-Eleven entered the Turkish market in 1989, opening its first store on September 11.	<--7-Eleven entered the Turkish market in 1989, opening its first store on September 11.	wiki_3111274_124	Q_3358_0
4.514956474304199	The first store in Washington, D.C., opened in 2008.	<--The first store in Washington, D.C., opened in 2008.	wiki_4532812_99	Q_3358_0
4.457878112792969	The first of the modern-type stores was opened in 1954, a store in Carle Place on Long Island, which for the first time carried apparel.	<--The first of the modern-type stores was opened in 1954, a store in Carle Place on Long Island, which for the first time carried apparel.	wiki_4885072_28	Q_3358_0
4.432826995849609	The first general store was opened in the 1860s and owned by John Kergan.	<--The first general store was opened in the 1860s and owned by John Kergan.	wiki_5334649_16	Q_3358_0
4.432686805725098	H-E-B opened its first store outside of Texas in 1996, a H-E-B Pantry store in Lake Charles, Louisiana; though the expansion was, in comparison, short lived and ultimately did not catch on with either planners or the community.	<--H-E-B opened its first store outside of Texas in 1996, a H-E-B Pantry store in Lake Charles, Louisiana; though the expansion was, in comparison, short lived and ultimately did not catch on with either planners or the community.	wiki_3379431_23	Q_3358_0
4.365604400634766	Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	<--Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	news_689153_1	Q_3358_0
4.365604400634766	Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	<--Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	news_689191_1	Q_3358_0
4.365603923797607	Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	<--Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	news_689990_9	Q_3358_0
4.365603923797607	Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	<--Shoppers line up to enter the new Trader Joe's store in Boulder, Colorado February 14, 2014.	news_689299_1	Q_3358_0
4.270244598388672	The store opened on September 26, 2006.	<--The store opened on September 26, 2006.	wiki_123109_35	Q_3358_0
4.261991500854492	First opened on November 18, 1948, it has now become a tourist destination as many celebrities are frequently seen at the mart.	<--First opened on November 18, 1948, it has now become a tourist destination as many celebrities are frequently seen at the mart.	wiki_3354543_1	Q_3358_0
4.210360050201416	They were officially opened on 31 August 1966.	<--They were officially opened on 31 August 1966.	wiki_645011_24	Q_3358_0
4.209505081176758	John V. Shields, Jr. (23 March 1932 ̢   31 October 2014) was an American businessman who was the CEO of the American grocery store chain Trader Joe's from 1988 to 2001.	<--John V. Shields, Jr. (23 March 1932 ̢   31 October 2014) was an American businessman who was the CEO of the American grocery store chain Trader Joe's from 1988 to 2001.	wiki_1589958_0	Q_3358_0
4.202356815338135	The first store was located at Sixteenth and State Streets in Boise, and he opened his second and third Albertsons stores in Nampa and Caldwell in 1940.	<--The first store was located at Sixteenth and State Streets in Boise, and he opened his second and third Albertsons stores in Nampa and Caldwell in 1940.	wiki_2161405_13	Q_3358_0
4.1911163330078125	The first US store opened in Santa Monica in 1989.	<--The first US store opened in Santa Monica in 1989.	wiki_3321788_7	Q_3358_0
4.180150032043457	In 1983, Cavender's began to open more stores in the Dallas/Fort Worth Metroplex and in 1986 opened its first of 11 Houston stores.	<--In 1983, Cavender's began to open more stores in the Dallas/Fort Worth Metroplex and in 1986 opened its first of 11 Houston stores.	wiki_1662596_9	Q_3358_0
4.168235778808594	In 1980, the company opened its 300th store.	<--In 1980, the company opened its 300th store.	wiki_5104405_32	Q_3358_0
4.165350437164307	In 2010, Joe Fresh moved beyond the supermarket aisle with the opening of its first stand-alone store, located in downtown Vancouver.	<--In 2010, Joe Fresh moved beyond the supermarket aisle with the opening of its first stand-alone store, located in downtown Vancouver.	wiki_2933913_57	Q_3358_0
4.12041711807251	In 2011 the company opened its first store in Moscow, and in 2012 opened a store in Los Angeles.	<--In 2011 the company opened its first store in Moscow, and in 2012 opened a store in Los Angeles.	wiki_3515128_19	Q_3358_0
4.08483362197876	After a decade of refining his strategy in a competitive environment, Coulombe renamed his venture from Pronto Markets to Trader Joe's in Pasadena in 1967.	<--After a decade of refining his strategy in a competitive environment, Coulombe renamed his venture from Pronto Markets to Trader Joe's in Pasadena in 1967.	wiki_287044_12	Q_3358_0
4.064226150512695	The Simon David in the Arboretum Market was not converted, but it would close in December 1996 and would be converted into a Saks Fifth Avenue then to a Trader Joe's in June 2014.	<--The Simon David in the Arboretum Market was not converted, but it would close in December 1996 and would be converted into a Saks Fifth Avenue then to a Trader Joe's in June 2014.	wiki_358363_19	Q_3358_0
4.03969144821167	Although the opening of the mall was originally scheduled for April 1, 1973, the first stores in the mall opened on May 2, and the rest of the lower mall opened on May 31, 1973.	<--Although the opening of the mall was originally scheduled for April 1, 1973, the first stores in the mall opened on May 2, and the rest of the lower mall opened on May 31, 1973.	wiki_5334768_15	Q_3358_0
3.9978067874908447	Joe's began in 1952 when Edward Orkney purchased army surplus sleeping bags and then set up a tent in Portland, Oregon, to sell them to the public.	<--Joe's began in 1952 when Edward Orkney purchased army surplus sleeping bags and then set up a tent in Portland, Oregon, to sell them to the public.	wiki_2590472_7	Q_3358_0
3.92146635055542	The company opened its first supermarket, "Victoria", in the Girlington district of Bradford in 1961.	<--The company opened its first supermarket, "Victoria", in the Girlington district of Bradford in 1961.	wiki_3818480_15	Q_3358_0
3.9021425247192383	Daily Table opened its first store in Dorchester, Massachusetts, on June 4, 2015.	<--Daily Table opened its first store in Dorchester, Massachusetts, on June 4, 2015.	wiki_4793834_10	Q_3358_0
3.792621374130249	After a falling-out with the landlord, that store moved to York, Pennsylvania, opening in March 1880.	<--After a falling-out with the landlord, that store moved to York, Pennsylvania, opening in March 1880.	wiki_5107875_28	Q_3358_0
3.754636764526367	The first 7-Eleven store was opened in October 1984, in Jalan Bukit Bintang, Kuala Lumpur.	<--The first 7-Eleven store was opened in October 1984, in Jalan Bukit Bintang, Kuala Lumpur.	wiki_3111274_95	Q_3358_0
3.7460708618164062	The first buildings built at the fort in 1830 were the "fur loft", which housed the company store, small warehouse and trader's office, and the "Big House" (residence for the governor of the HBC or other high-ranking officials).	<--The first buildings built at the fort in 1830 were the "fur loft", which housed the company store, small warehouse and trader's office, and the "Big House" (residence for the governor of the HBC or other high-ranking officials).	wiki_2147001_7	Q_3358_0
3.7218852043151855	The first shop opened in London, in Sydenham South East London in 1985.	<--The first shop opened in London, in Sydenham South East London in 1985.	wiki_3111274_142	Q_3358_0
3.6986260414123535	In October 2007, amid customer concerns, Trader Joe's began to phase out foods imported from China, and from February to April 2008, Trader Joe's phased out single-ingredient products from China because of customer concerns.	<--In October 2007, amid customer concerns, Trader Joe's began to phase out foods imported from China, and from February to April 2008, Trader Joe's phased out single-ingredient products from China because of customer concerns.	wiki_3097278_55	Q_3358_0
3.6746363639831543	It grew to seven stores by mid 1982, and the first store outside Oklahoma opened in 1984.	<--It grew to seven stores by mid 1982, and the first store outside Oklahoma opened in 1984.	wiki_3502336_6	Q_3358_0
3.639050245285034	Shortly after the store's opening in 1951, Albertson and his agent, E.D. McCarthy began planning a shopping center, and they secured options on more land.	<--Shortly after the store's opening in 1951, Albertson and his agent, E.D. McCarthy began planning a shopping center, and they secured options on more land.	wiki_4165484_6	Q_3358_0
3.613934278488159	A second store was needed, so Angelo and Carmen opened the Grey Manor store on Old North Point Road in 1954, followed four years later by the Middle River store on Eastern Avenue (not far from Joe's original Mars).	<--A second store was needed, so Angelo and Carmen opened the Grey Manor store on Old North Point Road in 1954, followed four years later by the Middle River store on Eastern Avenue (not far from Joe's original Mars).	wiki_896840_12	Q_3358_0
3.589543104171753	They operated the store until deciding to lease it out, which they did in May 1883.	<--They operated the store until deciding to lease it out, which they did in May 1883.	wiki_3869692_12	Q_3358_0
3.585118532180786	But it was with the unveiling of stores at Bridgewater New Jersey, and Garden City, New York, that Joe began ringing in sales at its first permanent U.S. outlets.	<--But it was with the unveiling of stores at Bridgewater New Jersey, and Garden City, New York, that Joe began ringing in sales at its first permanent U.S. outlets.	wiki_2933913_75	Q_3358_0
3.5322954654693604	Its 100th store opened in August 1995, and its 200th in August 1999.	<--Its 100th store opened in August 1995, and its 200th in August 1999.	wiki_3502336_9	Q_3358_0
3.488731861114502	The first store in Maryland opened in Darnestown on October 31, 2006; the second opened in May 2008 in Columbia's Village of Kings Contrivance, replacing the closed Safeway.	<--The first store in Maryland opened in Darnestown on October 31, 2006; the second opened in May 2008 in Columbia's Village of Kings Contrivance, replacing the closed Safeway.	wiki_4532812_98	Q_3358_0
3.4848477840423584	New York City's first glimpse of Joe followed in the fall with the October opening of a temporary "holiday store" on Madison Avenue.	<--New York City's first glimpse of Joe followed in the fall with the October opening of a temporary "holiday store" on Madison Avenue.	wiki_2933913_74	Q_3358_0
3.364584445953369	On May 6, 2008, the first store in Puerto Rico opened, followed by two additional locations in 2010 and one additional location in 2011.	<--On May 6, 2008, the first store in Puerto Rico opened, followed by two additional locations in 2010 and one additional location in 2011.	wiki_123109_195	Q_3358_0
3.35530424118042	When the first store reopened in February 2017 under ownership of the Northern California division, it was still bannered as Andronico's due to an issue in obtaining local permits but the other stores were able to reopen as Safeway Community Markets.	<--When the first store reopened in February 2017 under ownership of the Northern California division, it was still bannered as Andronico's due to an issue in obtaining local permits but the other stores were able to reopen as Safeway Community Markets.	wiki_3112853_159	Q_3358_0
3.3523755073547363	Krispy Kreme, through franchisee Citymax Hotels India Ltd., opened its first store on January 19, 2013 in Bangalore, Karnataka.	<--Krispy Kreme, through franchisee Citymax Hotels India Ltd., opened its first store on January 19, 2013 in Bangalore, Karnataka.	wiki_123109_91	Q_3358_0
3.3276219367980957	The company continued to expand, opening its 400th store in 1997.	<--The company continued to expand, opening its 400th store in 1997.	wiki_4653909_19	Q_3358_0
3.171271324157715	Krispy Kreme opened its first store in South Australia in West Croydon on July 15, 2014.	<--Krispy Kreme opened its first store in South Australia in West Croydon on July 15, 2014.	wiki_123109_44	Q_3358_0
3.1650962829589844	The chain's first surviving stores outside Norristown opened in the 1980s.	<--The chain's first surviving stores outside Norristown opened in the 1980s.	wiki_3731611_17	Q_3358_0
3.134962558746338	As of June 23, 2017, Trader Joe's had 467 stores nationwide in 41 states and in Washington, D.C.	<--As of June 23, 2017, Trader Joe's had 467 stores nationwide in 41 states and in Washington, D.C.	wiki_3097278_2	Q_3358_0
3.0717525482177734	In January 2010, former Joe's executives established a small storefront in a strip mall in the Portland suburb of Bethany, in attempt to start a new version of the old company, but using the original G.I. Joe's moniker.	<--In January 2010, former Joe's executives established a small storefront in a strip mall in the Portland suburb of Bethany, in attempt to start a new version of the old company, but using the original G.I. Joe's moniker.	wiki_2590472_42	Q_3358_0
3.019076347351074	The store assumed its third location in the spring of 1913 on the three floors of the Reisher Building in the middle of the first block of South Main Street.	<--The store assumed its third location in the spring of 1913 on the three floors of the Reisher Building in the middle of the first block of South Main Street.	wiki_1653219_20	Q_3358_0
3.0121374130249023	In subsequent years, following the success of their first Canadian store, the company opened three additional locations in Downtown Vancouver and Langley in 2006 and Richmond in 2012.	<--In subsequent years, following the success of their first Canadian store, the company opened three additional locations in Downtown Vancouver and Langley in 2006 and Richmond in 2012.	wiki_2780897_23	Q_3358_0
3.011401414871216	At the age of thirty-two, Albertson opened his first store in 1939 on three principles: quality, good value, and excellent service.	<--At the age of thirty-two, Albertson opened his first store in 1939 on three principles: quality, good value, and excellent service.	wiki_2161405_11	Q_3358_0
2.958906650543213	The first hardware store was opened in 1852 by the Willett Brothers, and the first drug store was opened by J. Collins and Dr. Blair, who was the first resident physician in the city.	<--The first hardware store was opened in 1852 by the Willett Brothers, and the first drug store was opened by J. Collins and Dr. Blair, who was the first resident physician in the city.	wiki_2120960_10	Q_3358_0
2.910649061203003	The first Bunnings store in the UK was opened at the end of January 2017 in St Albans, Hertfordshire, four months later than planned to ensure the adopted format was suited to the UK public.	<--The first Bunnings store in the UK was opened at the end of January 2017 in St Albans, Hertfordshire, four months later than planned to ensure the adopted format was suited to the UK public.	wiki_5060960_43	Q_3358_0
2.89801287651062	The Genuardi family opened its first supermarket in Norristown in 1954, which until its closure was the oldest surviving Genuardi's in operation.	<--The Genuardi family opened its first supermarket in Norristown in 1954, which until its closure was the oldest surviving Genuardi's in operation.	wiki_3731611_11	Q_3358_0
+++++


Expanded question: 'Joe Trader Joe Pasadena California Joe Coulombe What was offered in Pasadena?'
Question: What was offered in Pasadena?
4.001217365264893	Eating at Trader Vic's in Beverly Hills was notoriously expensive, but the Trader Joe's in Pasadena provided an irreverent and less expensive offering of food and drink.	<--Eating at Trader Vic's in Beverly Hills was notoriously expensive, but the Trader Joe's in Pasadena provided an irreverent and less expensive offering of food and drink.	N/A	Q_3358_1
7.21445369720459	The stately Italian Renaissance-style mansion of William Wrigley Jr. (the maker of Wrigley's chewing gum) was offered to the city of Pasadena after Mrs. Wrigley's death in 1958, under the condition that their home would be the Rose Parade's permanent headquarters.	<--The stately Italian Renaissance-style mansion of William Wrigley Jr. (the maker of Wrigley's chewing gum) was offered to the city of Pasadena after Mrs. Wrigley's death in 1958, under the condition that their home would be the Rose Parade's permanent headquarters.	wiki_4485122_28	Q_3358_1
6.429014205932617	The maker of Wrigley's chewing gum, William Wrigley Jr.'s, substantial home was offered to the city of Pasadena after Mrs. Wrigley's death in 1958, under the condition that their home would be the Rose Parade's permanent headquarters.	<--The maker of Wrigley's chewing gum, William Wrigley Jr.'s, substantial home was offered to the city of Pasadena after Mrs. Wrigley's death in 1958, under the condition that their home would be the Rose Parade's permanent headquarters.	wiki_2039793_222	Q_3358_1
6.163426876068115	Pasadena City College offers courses in the following languages: American Sign Language (ASL), Arabic (Standard), Armenian (Western), Chinese (Mandarin), French, German, Italian, Japanese, Latin, Portuguese (Brazilian), Russian, Spanish and English as a Second Language (ESL).	<--Pasadena City College offers courses in the following languages: American Sign Language (ASL), Arabic (Standard), Armenian (Western), Chinese (Mandarin), French, German, Italian, Japanese, Latin, Portuguese (Brazilian), Russian, Spanish and English as a Second Language (ESL).	wiki_3095082_52	Q_3358_1
6.099077224731445	Courses are also offered at the Armory Center for the Arts in downtown Pasadena.	<--Courses are also offered at the Armory Center for the Arts in downtown Pasadena.	wiki_3095082_97	Q_3358_1
5.07250452041626	For more than ten years, twice annually Pasadena's cultural institutions have opened their doors for free during ArtNight Pasadena, offering the public a rich sampling of quality art, artifacts and music within the city.	<--For more than ten years, twice annually Pasadena's cultural institutions have opened their doors for free during ArtNight Pasadena, offering the public a rich sampling of quality art, artifacts and music within the city.	wiki_2039793_179	Q_3358_1
4.898807048797607	Pasadena City College was the first community college in Southern California to offer an approved program for speech-language pathology assistants.	<--Pasadena City College was the first community college in Southern California to offer an approved program for speech-language pathology assistants.	wiki_3095082_60	Q_3358_1
4.791733264923096	Pasadena City College offers courses that can be taken at nearby high schools.	<--Pasadena City College offers courses that can be taken at nearby high schools.	wiki_3095082_96	Q_3358_1
4.713089466094971	Pasadena High School offers several special unique programs.	<--Pasadena High School offers several special unique programs.	wiki_3390823_10	Q_3358_1
4.652772903442383	When Busch died at his Pasadena estate, his wife generously offered the property to the City of Pasadena, an offer the city inexplicably refused.	<--When Busch died at his Pasadena estate, his wife generously offered the property to the City of Pasadena, an offer the city inexplicably refused.	wiki_2039793_225	Q_3358_1
4.4236836433410645	Pasadena City College offers a course for anesthetic technicians.	<--Pasadena City College offers a course for anesthetic technicians.	wiki_3095082_58	Q_3358_1
4.2455925941467285	When Busch died at his Pasadena estate, his wife generously offered the home to the City of Pasadena, an offer the city inexplicably refused.	<--When Busch died at his Pasadena estate, his wife generously offered the home to the City of Pasadena, an offer the city inexplicably refused.	wiki_2575040_103	Q_3358_1
4.206274032592773	Athletic programs available at Pasadena City College include basketball, cross country, swimming, tennis, track and field, volleyball, baseball, softball, football, and soccer.	<--Athletic programs available at Pasadena City College include basketball, cross country, swimming, tennis, track and field, volleyball, baseball, softball, football, and soccer.	wiki_3095082_79	Q_3358_1
3.949436902999878	The Pasadena Symphony, founded in 1928, offers several concerts a year at the Ambassador Auditorium and the Pasadena Pops plays at the Los Angeles County Arboretum and Botanic Garden.	<--The Pasadena Symphony, founded in 1928, offers several concerts a year at the Ambassador Auditorium and the Pasadena Pops plays at the Los Angeles County Arboretum and Botanic Garden.	wiki_2039793_168	Q_3358_1
